"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Fuel Consumption Data by State, Producer Sector and Energy Source; Months Through November 2021",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,CONSUMPTION
2021,1,AZ,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,1,AZ,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"9,183,287"
2021,1,AZ,"Electric Generators, Electric Utilities",Coal (Short Tons),"558,018"
2021,1,AZ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"18,462,254"
2021,1,AZ,"Electric Generators, Electric Utilities",Petroleum (Barrels),"5,809"
2021,1,CA,Total Electric Power Industry,Coal (Short Tons),"3,550"
2021,1,CA,Total Electric Power Industry,Geothermal (Billion Btu),"8,354"
2021,1,CA,Total Electric Power Industry,Natural Gas (Mcf),"49,618,509"
2021,1,CA,Total Electric Power Industry,Other Gases (Billion Btu),560
2021,1,CA,Total Electric Power Industry,Petroleum (Barrels),"5,936"
2021,1,CA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"3,550"
2021,1,CA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"5,900,358"
2021,1,CA,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),560
2021,1,CA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),434
2021,1,CA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"778,720"
2021,1,CA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),68
2021,1,CA,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2021,1,CA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"5,814,290"
2021,1,CA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,1,CA,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),"7,780"
2021,1,CA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"22,310,527"
2021,1,CA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,092"
2021,1,CA,"Electric Generators, Electric Utilities",Geothermal (Billion Btu),574
2021,1,CA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"14,814,614"
2021,1,CA,"Electric Generators, Electric Utilities",Other Gases (Billion Btu),0
2021,1,CA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"4,342"
2021,1,CO,Total Electric Power Industry,Coal (Short Tons),"1,123,182"
2021,1,CO,Total Electric Power Industry,Natural Gas (Mcf),"10,032,907"
2021,1,CO,Total Electric Power Industry,Other Gases (Billion Btu),18
2021,1,CO,Total Electric Power Industry,Petroleum (Barrels),"1,166"
2021,1,CO,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,1,CO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"91,650"
2021,1,CO,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),18
2021,1,CO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),2
2021,1,CO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2021,1,CO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,1,CO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),662
2021,1,CO,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,1,CO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,525,373"
2021,1,CO,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2021,1,CO,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,123,182"
2021,1,CO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"8,415,222"
2021,1,CO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,164"
2021,1,CT,Total Electric Power Industry,Coal (Short Tons),"85,830"
2021,1,CT,Total Electric Power Industry,Natural Gas (Mcf),"13,149,578"
2021,1,CT,Total Electric Power Industry,Petroleum (Barrels),"21,563"
2021,1,CT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"267,234"
2021,1,CT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),155
2021,1,CT,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"145,077"
2021,1,CT,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,294"
2021,1,CT,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"59,126"
2021,1,CT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),121
2021,1,CT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"85,830"
2021,1,CT,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"12,650,491"
2021,1,CT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"19,166"
2021,1,CT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"27,650"
2021,1,CT,"Electric Generators, Electric Utilities",Petroleum (Barrels),827
2021,1,DC,Total Electric Power Industry,Natural Gas (Mcf),"147,429"
2021,1,DC,Total Electric Power Industry,Petroleum (Barrels),2
2021,1,DC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"147,429"
2021,1,DC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),2
2021,1,DE,Total Electric Power Industry,Coal (Short Tons),0
2021,1,DE,Total Electric Power Industry,Natural Gas (Mcf),"603,807"
2021,1,DE,Total Electric Power Industry,Other Gases (Billion Btu),58
2021,1,DE,Total Electric Power Industry,Petroleum (Barrels),"2,133"
2021,1,DE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"396,866"
2021,1,DE,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),58
2021,1,DE,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,1,DE,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2021,1,DE,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"20,387"
2021,1,DE,"Combined Heat and Power, Electric Power",Petroleum (Barrels),395
2021,1,DE,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2021,1,DE,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"177,828"
2021,1,DE,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,472"
2021,1,DE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"8,726"
2021,1,DE,"Electric Generators, Electric Utilities",Petroleum (Barrels),266
2021,1,FL,Total Electric Power Industry,Coal (Short Tons),"675,264"
2021,1,FL,Total Electric Power Industry,Natural Gas (Mcf),"91,121,113"
2021,1,FL,Total Electric Power Industry,Other Gases (Billion Btu),0
2021,1,FL,Total Electric Power Industry,Petroleum (Barrels),"197,184"
2021,1,FL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),457
2021,1,FL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"744,589"
2021,1,FL,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),0
2021,1,FL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,665"
2021,1,FL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"29,294"
2021,1,FL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,1,FL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,174,638"
2021,1,FL,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,1,FL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,547,262"
2021,1,FL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),235
2021,1,FL,"Electric Generators, Electric Utilities",Coal (Short Tons),"674,807"
2021,1,FL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"87,625,330"
2021,1,FL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"195,284"
2021,1,GA,Total Electric Power Industry,Coal (Short Tons),"592,056"
2021,1,GA,Total Electric Power Industry,Natural Gas (Mcf),"34,681,468"
2021,1,GA,Total Electric Power Industry,Petroleum (Barrels),"28,268"
2021,1,GA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"3,295"
2021,1,GA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"386,948"
2021,1,GA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"20,487"
2021,1,GA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2021,1,GA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),185
2021,1,GA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"13,992"
2021,1,GA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,1,GA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"6,155,603"
2021,1,GA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),392
2021,1,GA,"Electric Generators, Electric Utilities",Coal (Short Tons),"588,761"
2021,1,GA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"28,124,925"
2021,1,GA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"7,204"
2021,1,HI,Total Electric Power Industry,Coal (Short Tons),"56,687"
2021,1,HI,Total Electric Power Industry,Geothermal (Billion Btu),116
2021,1,HI,Total Electric Power Industry,Other Gases (Billion Btu),0
2021,1,HI,Total Electric Power Industry,Petroleum (Barrels),"842,273"
2021,1,HI,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),0
2021,1,HI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"11,887"
2021,1,HI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),945
2021,1,HI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"56,687"
2021,1,HI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"86,705"
2021,1,HI,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),116
2021,1,HI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"29,449"
2021,1,HI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"713,287"
2021,1,IA,Total Electric Power Industry,Coal (Short Tons),"1,122,466"
2021,1,IA,Total Electric Power Industry,Natural Gas (Mcf),"2,485,234"
2021,1,IA,Total Electric Power Industry,Petroleum (Barrels),"15,219"
2021,1,IA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"35,519"
2021,1,IA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"221,056"
2021,1,IA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"5,763"
2021,1,IA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),975
2021,1,IA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"48,616"
2021,1,IA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),1
2021,1,IA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),0
2021,1,IA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),233
2021,1,IA,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,085,972"
2021,1,IA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,215,562"
2021,1,IA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"9,222"
2021,1,ID,Total Electric Power Industry,Coal (Short Tons),378
2021,1,ID,Total Electric Power Industry,Geothermal (Billion Btu),62
2021,1,ID,Total Electric Power Industry,Natural Gas (Mcf),"3,029,851"
2021,1,ID,Total Electric Power Industry,Petroleum (Barrels),0
2021,1,ID,"Combined Heat and Power, Industrial Power",Coal (Short Tons),378
2021,1,ID,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"66,527"
2021,1,ID,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,1,ID,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"15,479"
2021,1,ID,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,1,ID,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),62
2021,1,ID,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"994,558"
2021,1,ID,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,953,287"
2021,1,ID,"Electric Generators, Electric Utilities",Petroleum (Barrels),0
2021,1,IL,Total Electric Power Industry,Coal (Short Tons),"2,391,730"
2021,1,IL,Total Electric Power Industry,Natural Gas (Mcf),"14,146,740"
2021,1,IL,Total Electric Power Industry,Other Gases (Billion Btu),205
2021,1,IL,Total Electric Power Industry,Petroleum (Barrels),"6,532"
2021,1,IL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"42,374"
2021,1,IL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"350,999"
2021,1,IL,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),205
2021,1,IL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,1,IL,"Combined Heat and Power, Commercial Power",Coal (Short Tons),420
2021,1,IL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"198,255"
2021,1,IL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),20
2021,1,IL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"391,057"
2021,1,IL,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),0
2021,1,IL,"Electric Generators, Independent Power Producers",Coal (Short Tons),"2,245,754"
2021,1,IL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"12,712,389"
2021,1,IL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"5,826"
2021,1,IL,"Electric Generators, Electric Utilities",Coal (Short Tons),"103,182"
2021,1,IL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"494,040"
2021,1,IL,"Electric Generators, Electric Utilities",Petroleum (Barrels),686
2021,1,IN,Total Electric Power Industry,Coal (Short Tons),"2,538,357"
2021,1,IN,Total Electric Power Industry,Natural Gas (Mcf),"19,352,934"
2021,1,IN,Total Electric Power Industry,Other Gases (Billion Btu),"1,225"
2021,1,IN,Total Electric Power Industry,Petroleum (Barrels),"32,695"
2021,1,IN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,1,IN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,040,125"
2021,1,IN,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),"1,225"
2021,1,IN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),274
2021,1,IN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),746
2021,1,IN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"73,427"
2021,1,IN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),13
2021,1,IN,"Combined Heat and Power, Electric Power",Coal (Short Tons),"208,128"
2021,1,IN,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,950,894"
2021,1,IN,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,1,IN,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2021,1,IN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"8,641,541"
2021,1,IN,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2021,1,IN,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,329,483"
2021,1,IN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"7,646,947"
2021,1,IN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"32,408"
2021,1,KS,Total Electric Power Industry,Coal (Short Tons),"934,051"
2021,1,KS,Total Electric Power Industry,Natural Gas (Mcf),"1,385,221"
2021,1,KS,Total Electric Power Industry,Petroleum (Barrels),"15,602"
2021,1,KS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"43,611"
2021,1,KS,"Electric Generators, Electric Utilities",Coal (Short Tons),"934,051"
2021,1,KS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,341,610"
2021,1,KS,"Electric Generators, Electric Utilities",Petroleum (Barrels),"15,602"
2021,1,KY,Total Electric Power Industry,Coal (Short Tons),"2,164,384"
2021,1,KY,Total Electric Power Industry,Natural Gas (Mcf),"9,105,088"
2021,1,KY,Total Electric Power Industry,Petroleum (Barrels),"13,621"
2021,1,KY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"91,089"
2021,1,KY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"23,353"
2021,1,KY,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,164,384"
2021,1,KY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"8,990,646"
2021,1,KY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"13,621"
2021,1,LA,Total Electric Power Industry,Coal (Short Tons),"188,601"
2021,1,LA,Total Electric Power Industry,Natural Gas (Mcf),"34,379,426"
2021,1,LA,Total Electric Power Industry,Other Gases (Billion Btu),811
2021,1,LA,Total Electric Power Industry,Petroleum (Barrels),"812,650"
2021,1,LA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,1,LA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"14,142,802"
2021,1,LA,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),811
2021,1,LA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,1,LA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"80,351"
2021,1,LA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,145,747"
2021,1,LA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"45,427"
2021,1,LA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"41,878"
2021,1,LA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2021,1,LA,"Electric Generators, Electric Utilities",Coal (Short Tons),"143,174"
2021,1,LA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"18,968,648"
2021,1,LA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"812,650"
2021,1,MA,Total Electric Power Industry,Coal (Short Tons),0
2021,1,MA,Total Electric Power Industry,Natural Gas (Mcf),"12,434,200"
2021,1,MA,Total Electric Power Industry,Petroleum (Barrels),"13,567"
2021,1,MA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,1,MA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"93,655"
2021,1,MA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),72
2021,1,MA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"237,752"
2021,1,MA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),240
2021,1,MA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"833,868"
2021,1,MA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),18
2021,1,MA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"11,233,391"
2021,1,MA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"12,637"
2021,1,MA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"35,534"
2021,1,MA,"Electric Generators, Electric Utilities",Petroleum (Barrels),600
2021,1,MD,Total Electric Power Industry,Coal (Short Tons),"325,732"
2021,1,MD,Total Electric Power Industry,Natural Gas (Mcf),"5,972,989"
2021,1,MD,Total Electric Power Industry,Petroleum (Barrels),"20,100"
2021,1,MD,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"17,014"
2021,1,MD,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,1,MD,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,1,MD,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"740,641"
2021,1,MD,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),12
2021,1,MD,"Combined Heat and Power, Electric Power",Coal (Short Tons),"41,425"
2021,1,MD,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"441,367"
2021,1,MD,"Combined Heat and Power, Electric Power",Petroleum (Barrels),221
2021,1,MD,"Electric Generators, Independent Power Producers",Coal (Short Tons),"284,307"
2021,1,MD,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"4,355,718"
2021,1,MD,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"19,314"
2021,1,MD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"418,249"
2021,1,MD,"Electric Generators, Electric Utilities",Petroleum (Barrels),553
2021,1,ME,Total Electric Power Industry,Coal (Short Tons),"1,448"
2021,1,ME,Total Electric Power Industry,Natural Gas (Mcf),"1,297,952"
2021,1,ME,Total Electric Power Industry,Petroleum (Barrels),"3,997"
2021,1,ME,"Combined Heat and Power, Industrial Power",Coal (Short Tons),243
2021,1,ME,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"182,436"
2021,1,ME,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),576
2021,1,ME,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"13,661"
2021,1,ME,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,096"
2021,1,ME,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,205"
2021,1,ME,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"1,798"
2021,1,ME,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2021,1,ME,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,101,855"
2021,1,ME,"Electric Generators, Independent Power Producers",Petroleum (Barrels),527
2021,1,MI,Total Electric Power Industry,Coal (Short Tons),"2,026,572"
2021,1,MI,Total Electric Power Industry,Natural Gas (Mcf),"18,942,461"
2021,1,MI,Total Electric Power Industry,Other Gases (Billion Btu),624
2021,1,MI,Total Electric Power Industry,Petroleum (Barrels),"89,666"
2021,1,MI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),77
2021,1,MI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"297,594"
2021,1,MI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"21,352"
2021,1,MI,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,1,MI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"233,681"
2021,1,MI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),83
2021,1,MI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"13,482"
2021,1,MI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"7,378,112"
2021,1,MI,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),624
2021,1,MI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,1,MI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"4,816,295"
2021,1,MI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2021,1,MI,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,013,013"
2021,1,MI,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"6,216,779"
2021,1,MI,"Electric Generators, Electric Utilities",Other Gases (Billion Btu),0
2021,1,MI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"68,231"
2021,1,MN,Total Electric Power Industry,Coal (Short Tons),"845,716"
2021,1,MN,Total Electric Power Industry,Natural Gas (Mcf),"6,321,557"
2021,1,MN,Total Electric Power Industry,Petroleum (Barrels),"4,310"
2021,1,MN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"3,362"
2021,1,MN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"49,651"
2021,1,MN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),76
2021,1,MN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),19
2021,1,MN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"37,968"
2021,1,MN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),84
2021,1,MN,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"267,324"
2021,1,MN,"Combined Heat and Power, Electric Power",Petroleum (Barrels),78
2021,1,MN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,674,519"
2021,1,MN,"Electric Generators, Independent Power Producers",Petroleum (Barrels),4
2021,1,MN,"Electric Generators, Electric Utilities",Coal (Short Tons),"842,335"
